execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-udp-flood-malicioso-r01,udp-flood,flood-udp,malicioso,suricata,32854,32854,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r01,udp-flood,flood-udp,malicioso,snort,18310,18310,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r01,udp-flood,flood-udp,malicioso,zeek,9000,8999,0,flood-udp;nao-mapeado,TP,flood-udp
campanha02-ssh-bruteforce-malicioso-r01,ssh-bruteforce,ssh-brute,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r01,ssh-bruteforce,ssh-brute,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r01,ssh-bruteforce,ssh-brute,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r01,port-scanner-tcp,scan,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r01,port-scanner-tcp,scan,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r01,port-scanner-tcp,scan,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-dns-tunneling-malicioso-r01,dns-tunneling,dns-tunneling,malicioso,suricata,204,204,0,dns-tunneling,TP,dns-tunneling
campanha02-dns-tunneling-malicioso-r01,dns-tunneling,dns-tunneling,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-dns-tunneling-malicioso-r01,dns-tunneling,dns-tunneling,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-benigno-dns-benigno-r01,benigno-dns,dns,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r01,benigno-dns,dns,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r01,benigno-dns,dns,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r01,benigno-scan,scan,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r01,benigno-scan,scan,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r01,benigno-scan,scan,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r01,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r01,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r01,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-idor-path-traversal-malicioso-r01,idor-path-traversal,path-traversal,malicioso,suricata,797,0,641,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r01,idor-path-traversal,path-traversal,malicioso,snort,1056,0,1056,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r01,idor-path-traversal,path-traversal,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
