cenario,classe,ids,n,taxa_det,det_ic95_low,det_ic95_high,taxa_erro_classif,taxa_fn_puro,taxa_fp,alertas_media,alertas_dp
benigno-dns,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-dns,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-dns,benigno,zeek,1,,,,,,0.000,0.000,0.000
benigno-http,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-http,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-http,benigno,zeek,1,,,,,,0.000,0.000,0.000
benigno-icmp,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-icmp,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-icmp,benigno,zeek,1,,,,,,0.000,0.000,0.000
benigno-mix,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-mix,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-mix,benigno,zeek,1,,,,,,0.000,0.000,0.000
benigno-scan,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-scan,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-scan,benigno,zeek,1,,,,,,0.000,0.000,0.000
benigno-ssh,benigno,snort,1,,,,,,0.000,0.000,0.000
benigno-ssh,benigno,suricata,1,,,,,,0.000,0.000,0.000
benigno-ssh,benigno,zeek,1,,,,,,0.000,0.000,0.000
dns-tunneling,malicioso,snort,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
dns-tunneling,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,204.000,0.000
dns-tunneling,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
dos-http-simple,malicioso,snort,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
dos-http-simple,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,15.000,0.000
dos-http-simple,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
icmp-flood,malicioso,snort,1,1.000,0.207,1.000,0.000,0.000,,7034.000,0.000
icmp-flood,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,4.000,0.000
icmp-flood,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
idor-path-traversal,malicioso,snort,1,0.000,0.000,0.793,1.000,0.000,,0.000,0.000
idor-path-traversal,malicioso,suricata,1,0.000,0.000,0.793,1.000,0.000,,0.000,0.000
idor-path-traversal,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
port-scanner-tcp,malicioso,snort,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
port-scanner-tcp,malicioso,suricata,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
port-scanner-tcp,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
sql-injection,malicioso,snort,1,0.000,0.000,0.793,1.000,0.000,,0.000,0.000
sql-injection,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,2.000,0.000
sql-injection,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
ssh-bruteforce,malicioso,snort,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
ssh-bruteforce,malicioso,suricata,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
ssh-bruteforce,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
syn-flood,malicioso,snort,1,1.000,0.207,1.000,0.000,0.000,,241.000,0.000
syn-flood,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,1.000,0.000
syn-flood,malicioso,zeek,1,0.000,0.000,0.793,1.000,0.000,,0.000,0.000
udp-flood,malicioso,snort,1,1.000,0.207,1.000,0.000,0.000,,18310.000,0.000
udp-flood,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,32854.000,0.000
udp-flood,malicioso,zeek,1,1.000,0.207,1.000,0.000,0.000,,8999.000,0.000
xss-scanner,malicioso,snort,1,1.000,0.207,1.000,0.000,0.000,,2.000,0.000
xss-scanner,malicioso,suricata,1,1.000,0.207,1.000,0.000,0.000,,2.000,0.000
xss-scanner,malicioso,zeek,1,0.000,0.000,0.793,0.000,1.000,,0.000,0.000
